
	Saldo al	Soc.	Cta.mayor	Material	Texto breve de material	¡Val	       Stock total	UMB	Precio variable	       Valor total
	10/2021	PA04	1401130101	2265	TRIS (C4H11NO3) NO. DE CAS 77-86-1	2040	               45	G	          0.52	            23.40
	10/2021	PA04	1401130101	2267	BIFTALATO DE POTASIO NO. DE CAS 877-24-7	2040	               20	G	          0.32	             6.32
	10/2021	PA04	1401130101	2284	PHENOLFTALEINA NO. DE CAS 77-09-8	2040	               50	G	          0.54	            27.01
	10/2021	PA04	1401130101	2289	FUNDENTE 9411 008 64000 LIT/LIM 67/33	2040	                5	KG	        230.40	         1,151.99
	10/2021	PA04	1401130101	2292	PISON PARA PRUEBA CUBO DE MORTERO H-2860	2040	               35	UN	          0.00	             0.00
	10/2021	PA04	1401130101	2292	PISON PARA PRUEBA CUBO DE MORTERO H-2860	2040	                6	UN	         20.28	           121.68
	10/2021	PA04	1401130101	2294	VASO DEWAR (CALOR DE HIDRATACION)	2040	                2	UN	        416.80	           833.60
	10/2021	PA04	1401130101	2296	PAPEL DE LIMPIEZA PARA CILAS LENS PAPER	2040	                1	CA	         21.00	            21.00
	10/2021	PA04	1401130101	2301	MALLA ALPINE 325 (H-4335F325)	2040	                2	UN	        344.49	           688.98
	10/2021	PA04	1401130101	2304	MALLA N∞ 200 USA STANDARD SIEVE ASTM E11	2040	                2	UN	        118.00	           236.00
	10/2021	PA04	1401130101	2308	BUFFER PH 4	2040	              500	ML	          0.03	            16.31
	10/2021	PA04	1401130101	2312	BUFFER PH 7	2040	              500	ML	          0.03	            17.19
	10/2021	PA04	1401130101	2315	BUFFER PH 10	2040	              500	ML	          0.04	            18.80
	10/2021	PA04	1401130101	2328	BOLSA ASPIRADORA KARCHER 35 LITROS	2040	                3	UN	         16.77	            50.30
	10/2021	PA04	1401130101	2336	TANQUE ROJO CON TAPA DE 5 GALONES	2040	               13	UN	          5.99	            77.87
	10/2021	PA04	1401130101	2346	MATRAZ KITASATO DE 250 ML (VIDRIO)	2040	                2	UN	         31.00	            61.99
	10/2021	PA04	1401130101	2348	EMBUDO PORCELANA BUCHNER 70MM	2040	                2	UN	         84.95	           169.90
	10/2021	PA04	1401130101	2351	HIDROXIDO DE CALCIO (CAL) CAS 1305-62-0	2040	                8	KG	        178.83	         1,430.60
	10/2021	PA04	1401130101	2355	VASO QUIMICO DE 400 ML MARCA PYREX	2040	                5	UN	          5.25	            26.25
	10/2021	PA04	1401130101	2357	VASO QUIMICO DE 600 ML MARCA PYREX	2040	                6	UN	          0.00	             0.00
	10/2021	PA04	1401130101	2357	VASO QUIMICO DE 600 ML MARCA PYREX	2040	                3	UN	          7.00	            21.00
	10/2021	PA04	1401130101	2359	VASO QUIMICO DE 250 ML MARCA PYREX	2040	                9	UN	          5.00	            44.96
	10/2021	PA04	1401130101	2361	VASO QUIMICO DE 40 ML MARCA PYREX	2040	                5	UN	          4.44	            22.20
	10/2021	PA04	1401130101	2366	MATRAZ ERLENMEYER DE 250 ML MARCA PYREX	2040	                5	UN	          7.72	            38.60
	10/2021	PA04	1401130101	2372	POLICIAL VARILLA DE VIDRIO 20 CM LARGO	2040	                5	CJ	         25.92	           129.60
	10/2021	PA04	1401130101	2374	AGUA DESIONIZADA 1153332500 MERCK	2040	            2.500	L	         14.00	            35.00
	10/2021	PA04	1401130101	2379	ESTANDAR NIST 114 Q	2040	                1	CJ	        676.47	           676.47
	10/2021	PA04	1401130101	2383	MALLA #325 (HUMEDA) H-3807	2040	                1	UN	        257.90	           257.90
	10/2021	PA04	1401130101	2392	ACETATO DE AMONIO 1.01116.1000 MERCK	2040	            0.800	KG	          0.00	             0.00
	10/2021	PA04	1401130101	2392	ACETATO DE AMONIO 1.01116.1000 MERCK	2040	                1	KG	         87.00	            87.00
	10/2021	PA04	1401130101	2394	NITRATO DE ESTRONCIO 1.07872.0250 MERCK	2040	              500	G	          0.52	           262.00
	10/2021	PA04	1401130101	2443	HOJA ZINC METALICA CORRUGADA CALIBRE 26	2040	                2	UN	         27.37	            54.73
	10/2021	PA04	1401130101	2447	CARRIOLA GALVANIZADA 4 X 2 X 30' CAL.16	2040	               14	M	         27.17	           380.38
	10/2021	PA04	1401130101	2447	CARRIOLA GALVANIZADA 4 X 2 X 30' CAL.16	2040	                3	M	          0.00	             0.00
	10/2021	PA04	1401130101	2475	CHALECO REFLECTIVO TALLA M	2040	               30	UN	          8.95	           268.50
	10/2021	PA04	1401130101	5483	CARTUCHO 3M 6006	2040	               27	UN	         20.85	           562.95
	10/2021	PA04	1401130101	5584	FILTRO DIRIMPEX H-3630.21 CAJAX100	2040	                2	UN	        153.31	           306.62
	10/2021	PA04	1401130101	5747	LONA OVILLOS Y CONOS 4010160240	2040	               15	M	        108.11	         1,621.60
	10/2021	PA04	1401130101	5773	SPRAY WURTH 00893-62	2040	               10	UN	         19.40	           194.00
	10/2021	PA04	1401130101	5789	BARBUQUEJO JYRSA WW2000	2040	               56	UN	          2.20	           123.44
	10/2021	PA04	1401130101	5801	JGO ANILLO TONI TECHNIK 7300.011	2040	                1	UN	         87.53	            87.53
	10/2021	PA04	1401130101	5803	JGO CONO TONI TECHNIK 7300.015	2040	                1	UN	        137.73	           137.73
	10/2021	PA04	1401130101	5804	CONO TONI TECHNIK 7300.008	2040	                1	UN	        142.59	           142.59
	10/2021	PA04	1401130101	6170	OXIDO D/CALCIO CAS 1305-78-8	2040	            1.102	LB	        161.52	           178.00
	10/2021	PA04	1401130101	6245	GUANTE CONDUCTOR CORDOVA EPM-8201L	2040	               85	PAA	          5.15	           437.75
	10/2021	PA04	1401130101	6370	LANA ROCKWOOL PROROX SL 950	2040	               20	UN	         14.50	           290.00
	10/2021	PA04	1401130101	100970	TUBO GALV 1-1/4IN 6M	2040	                1	UN	         37.16	            37.16
	10/2021	PA04	1401130101	101244	TUERCA G10.9 M20X2.5	2040	               24	UN	          0.70	            16.80
	10/2021	PA04	1401130101	102619	ANGULO A-36 1/4X2IN 6M	2040	                6	UN	         40.51	           243.06
	10/2021	PA04	1401130101	102707	CODO CALLE GALV 3/4NPT 90∞(M-H)	2040	               49	UN	          1.40	            68.60
	10/2021	PA04	1401130101	102782	ANGULO A-36 3/16X1IN 6M	2040	                1	UN	         13.06	            13.06
	10/2021	PA04	1401130101	102954	VALVULA BOLA BRONCE 2NPT 150PSI	2040	                2	UN	         37.10	            74.20
	10/2021	PA04	1401130101	103079	NIPLE GALV 1X4NPT	2040	                1	UN	          0.85	             0.85
	10/2021	PA04	1401130101	103080	NIPLE GALV 1X5NPT	2040	                3	UN	          2.89	             8.66
	10/2021	PA04	1401130101	103380	REDUCCION PRES PVC 1-1/2 A 1IN	2040	               10	UN	          0.25	             2.50
	10/2021	PA04	1401130101	103398	CODO PRES PVC 1/2IN 90¬∞	2040	               12	UN	          0.15	             1.80
	10/2021	PA04	1401130101	103474	TUBO GALV 1IN 6M	2040	                3	UN	         16.30	            48.90
	10/2021	PA04	1401130101	103707	ADAPTADOR MACHO PVC 1IN	2040	                8	UN	          0.24	             1.92
	10/2021	PA04	1401130101	104153	CODO GALV 1/2NPT 90∞	2040	               12	UN	          1.75	            21.00
	10/2021	PA04	1401130101	104179	UNION UNIVERSAL GALV 1NPT	2040	                3	UN	          6.40	            19.20
	10/2021	PA04	1401130101	104190	CODO GALV 1NPT 90∞	2040	                1	UN	          1.99	             1.99
	10/2021	PA04	1401130101	104253	CODO PRES PVC 3/4IN 90∞	2040	               81	UN	          0.18	            14.83
	10/2021	PA04	1401130101	104336	UNION UNIVERSAL GALV 4NPT	2040	                2	UN	         37.99	            75.98
	10/2021	PA04	1401130101	104406	PINTURA PUR RAL 6018 VERDE	2040	                4	GLN	          0.00	             0.00
	10/2021	PA04	1401130101	104406	PINTURA PUR RAL 6018 VERDE	2040	                4	GLN	         31.95	           127.80
	10/2021	PA04	1401130101	104542	TUBO ACARB SCH40 1-1/4IN 6M S/COSTURA	2040	               12	UN	         35.24	           422.88
	10/2021	PA04	1401130101	104551	TUBO PVC 1IN 6M	2040	               65	UN	          4.80	           312.00
	10/2021	PA04	1401130101	104870	BROCHA PLANA 4IN CERDA CABALLO	2040	                5	UN	          6.64	            33.20
	10/2021	PA04	1401130101	104974	VALVULA BOLA 4IN	2040	                1	UN	        407.52	           407.52
	10/2021	PA04	1401130101	104991	PINTURA PUR RAL 1021 AMAR	2040	                3	GLN	         31.67	            95.01
	10/2021	PA04	1401130101	105096	CODO GALV 3NPT 90∞	2040	                1	UN	          9.78	             9.78
	10/2021	PA04	1401130101	105276	SOLDADURA E-6013 3/32IN	2040	               10	KG	          3.85	            38.50
	10/2021	PA04	1401130101	105310	SOLDADURA XUPER NUCLEOTEC 2222 1/8IN	2040	               10	KG	        165.24	         1,652.40
	10/2021	PA04	1401130101	105335	SOLDADURA E-309L-16 1/8IN	2040	               10	KG	         24.20	           242.00
	10/2021	PA04	1401130101	105493	SOLDADURA XUPER NUCLEOTEC 2222 5/32IN	2040	                5	KG	        168.15	           840.75
	10/2021	PA04	1401130101	105523	SOLDADURA XUPER 646 XHD 1/8IN	2040	               10	KG	         36.99	           369.90
	10/2021	PA04	1401130101	106646	JGO VULCANIZADO 750GR FOURTHANE LINEA	2040	                4	UN	        190.17	           760.68
	10/2021	PA04	1401130101	107130	ARANDELA PLANA 5/8IN	2040	              456	UN	          0.15	            66.70
	10/2021	PA04	1401130101	107475	ARANDELA PRES M12	2040	            3,553	UN	          0.18	           626.67
	10/2021	PA04	1401130101	108802	TORNILLO CAB AVE G8.8 M6X60X1	2040	               12	UN	          0.80	             9.60
	10/2021	PA04	1401130101	109012	ARANDELA PLANA M20	2040	               48	UN	          0.35	            16.80
	10/2021	PA04	1401130101	109379	TORNILLO ALLEN CAB AVE G8.8 M6X30X1	2040	               62	UN	          0.16	            10.00
	10/2021	PA04	1401130101	110753	ARANDELA PRES 1/2IN	2040	              206	UN	          0.00	             0.00
	10/2021	PA04	1401130101	110753	ARANDELA PRES 1/2IN	2040	              491	UN	          0.02	             9.69
	10/2021	PA04	1401130101	110753	ARANDELA PRES 1/2IN	2040	              682	UN	          0.00	             0.00
	10/2021	PA04	1401130101	110754	ARANDELA PRES 3/8IN	2040	              213	UN	          0.01	             2.13
	10/2021	PA04	1401130101	110756	ARANDELA PLANA 1/2IN	2040	              934	UN	          0.05	            42.41
	10/2021	PA04	1401130101	110758	ARANDELA PRES 3/4IN	2040	              274	UN	          0.05	            14.83
	10/2021	PA04	1401130101	110768	ARANDELA PLANA 3/4IN	2040	               34	UN	          0.13	             4.33
	10/2021	PA04	1401130101	110769	ARANDELA PLANA 3/8IN	2040	              219	UN	          0.04	             8.98
	10/2021	PA04	1401130101	110770	ARANDELA PLANA 5/16IN	2040	                6	UN	          0.01	             0.07
	10/2021	PA04	1401130101	110849	TORNILLO ALLEN CAB CIL G8.8 M16X50X2	2040	               48	UN	          1.43	            68.79
	10/2021	PA04	1401130101	110862	TORNILLO CAB HEX G8.8 M24X130X3	2040	               46	UN	          6.84	           314.64
	10/2021	PA04	1401130101	112716	BROCHA PLANA 2IN	2040	                5	UN	          2.35	            11.75
	10/2021	PA04	1401130101	112787	THINNER	2040	                5	GLN	         14.16	            70.80
	10/2021	PA04	1401130101	113126	GAS MEZCLA UP-10(90% ARGON+10% METANO)	2040	                4	UN	        733.01	         2,932.05
	10/2021	PA04	1401130101	113140	GAS DIOXIDO CARBON CO2	2040	                3	KG	         69.95	           209.85
	10/2021	PA04	1401130101	115881	SOLDADURA BRONCE A5.6 1/8IN	2040	            9.500	LB	         12.95	           123.02
	10/2021	PA04	1401130101	116002	ARANDELA PRES M30	2040	              324	UN	          1.16	           374.43
	10/2021	PA04	1401130101	116498	TUERCA 3/4	2040	            2,325	UN	          0.00	             0.00
	10/2021	PA04	1401130101	117015	VALVULA BOLA BRONCE 3/4NPT 300PSI	2040	                3	UN	          8.76	            26.28
	10/2021	PA04	1401130101	117068	PINTURA ANTICORROSIVA RAL 7032 GRIS	2040	                3	GLN	         46.19	           138.57
	10/2021	PA04	1401130101	117372	ACOPLE OPW ALUM 4IN PARTE C	2040	                4	UN	         28.34	           113.37
	10/2021	PA04	1401130101	118290	COMPUESTO WELLER WC5	2040	                2	UN	        311.16	           622.31
	10/2021	PA04	1401130101	119499	ABRAZADERA MANGUERA 2	2040	                2	UN	          1.03	             2.06
	10/2021	PA04	1401130101	119501	ABRAZADERA MANGUERA 3	2040	                1	UN	          8.27	             8.27
	10/2021	PA04	1401130101	119507	GRAPA 3-1/2	2040	               82	UN	          1.40	           114.80
	10/2021	PA04	1401130101	119510	GRAPA RIEL TUBO 1/2	2040	               33	UN	          0.18	             5.97
	10/2021	PA04	1401130101	119511	GRAPA RIEL TUB. 3/4	2040	               20	UN	          0.30	             6.00
	10/2021	PA04	1401130101	119512	GRAPA RIEL TUBO 1	2040	               23	UN	          0.41	             9.40
	10/2021	PA04	1401130101	119514	GRAPA RIEL TUB. 2	2040	               39	UN	          0.78	            30.45
	10/2021	PA04	1401130101	119515	GRAPA RIEL TUB. 3	2040	               89	UN	          0.96	            85.32
	10/2021	PA04	1401130101	119517	SUNCHO PLASTICO 6 LONGITUD	2040	              800	UN	          0.02	            16.80
	10/2021	PA04	1401130101	119518	SUNCHO PLASTICO 8 LONGITUD	2040	              500	UN	          0.05	            25.00
	10/2021	PA04	1401130101	119519	SUNCHO PLASTICO DE 15 LONGITUD	2040	            1,386	UN	          0.11	           158.73
	10/2021	PA04	1401130101	119520	SUNCHO PLASTICO 4 LONGITUD	2040	              200	UN	          0.01	             2.10
	10/2021	PA04	1401130101	119521	GRAPA TUBERIA 4	2040	              207	UN	          1.60	           331.20
	10/2021	PA04	1401130101	119522	ABRAZADERA D408 841735	2040	                4	UN	         29.74	           118.96
	10/2021	PA04	1401130101	119548	ABRAZADERA 7.000289 20-32 FLSMIDTH	2040	                8	UN	         52.43	           419.43
	10/2021	PA04	1401130101	119549	ABRAZADERA 7.000289 32-50 FLSMIDTH	2040	                4	UN	         31.90	           127.60
	10/2021	PA04	1401130101	119550	ABRAZADERA 7.000289 50-70 FLSMIDTH	2040	                2	UN	         39.34	            78.68
	10/2021	PA04	1401130101	119551	ABRAZADERA DE BANDA ANCHA 140	2040	                2	UN	         83.31	           166.61
	10/2021	PA04	1401130101	119552	ABRAZADERA BANDA ANCHA 150 112420-PRT	2040	                2	UN	         66.44	           132.87
	10/2021	PA04	1401130101	119553	ABRAZADERA TENSI”N ETZ- FK-CAP-CON -1.3	2040	                1	UN	        106.06	           106.06
	10/2021	PA04	1401130101	119554	ABRAZADERA TENSI”N ETZ- FK-CAP-CON -1.6	2040	                2	UN	         40.82	            81.64
	10/2021	PA04	1401130101	119555	ABRAZADERA TENSI”N ETZ- FK-CAP-CON -2.3	2040	                6	UN	         42.71	           256.24
	10/2021	PA04	1401130101	119556	ABRAZADERA TENSI”N ETZ- FK-CAP-CON -3.3	2040	                1	UN	        193.81	           193.81
	10/2021	PA04	1401130101	119558	GRAPA DE 1" PARA TUBERIA RIGIDA	2040	               32	UN	          0.23	             7.36
	10/2021	PA04	1401130101	119565	ENGRASADOR 3/8X90	2040	                5	UN	          0.45	             2.25
	10/2021	PA04	1401130101	119568	LUBRICADOR 103791070305	2040	                1	UN	      3,830.29	         3,830.29
	10/2021	PA04	1401130101	119609	GENERADOR DE NIVEL 741103 99682	2040	                3	UN	        343.33	         1,030.00
	10/2021	PA04	1401130101	119610	MODULO TRABON LUBRIQUIP 10S 106-100-025	2040	                1	UN	        475.00	           475.00
	10/2021	PA04	1401130101	119611	MODULO TRABON 20T CON PIN DE CICLO 2 SA	2040	                1	UN	        550.00	           550.00
	10/2021	PA04	1401130101	119612	MODULO TRABON 20T CON DOBLE SALIDA	2040	                1	UN	        475.00	           475.00
	10/2021	PA04	1401130101	119613	BOQUILLA 1/4 J ACERO INOXIDABLE	2040	                1	UN	        450.00	           450.00
	10/2021	PA04	1401130101	119614	BLOQUE TIPO ZP-A- 3 SEGMENTOS 6 SALIDAS	2040	                2	UN	      1,890.00	         3,780.00
	10/2021	PA04	1401130101	119615	DETECTOR DE FUGAS 890-20	2040	                9	UN	         20.75	           186.75
	10/2021	PA04	1401130101	119617	ADAPTADOR COMPLETO C/MINIMESS 0655-6	2040	                1	UN	        554.96	           554.96
	10/2021	PA04	1401130101	119618	BOQUILLA INYECCI”N AGUA 3.097033	2040	                2	UN	        234.63	           469.26
	10/2021	PA04	1401130101	119619	BOQUILLA ENGRASADORA LADO MOTOR	2040	                4	UN	          6.09	            24.34
	10/2021	PA04	1401130101	119620	LUBRICADOR CENTRAL FLM 3.087351- 587296	2040	                1	UN	      3,669.60	         3,669.60
	10/2021	PA04	1401130101	119636	VISOR C/PUERTO MUESTREO M-3/8NPT	2040	                1	UN	        285.83	           285.83
	10/2021	PA04	1401130101	119638	GRASA LGWA-2 / 380 ML. TLMR 101	2040	               18	UN	         61.60	         1,108.80
	10/2021	PA04	1401130101	119639	TANQUE PLASTICO P/LUBRICACION UNIST	2040	                2	UN	        190.00	           380.00
	10/2021	PA04	1401130101	119640	ACERO CALIBRADO 2-11/16X12'	2040	                3	UN	         95.28	           285.84
	10/2021	PA04	1401130101	119643	RESORTE ACERO ESPECIAL 4.093802	2040	                6	UN	         87.83	           526.98
	10/2021	PA04	1401130101	119644	GORRON ACERO COLADO 2.082081	2040	                2	UN	      2,138.49	         4,276.97
	10/2021	PA04	1401130101	119645	MODULOS 316L ACERO INOXIDABLE	2040	               30	UN	        152.87	         4,586.22
	10/2021	PA04	1401130101	119656	DISCO DE 7 PARA ESMERILAR	2040	                2	UN	          2.73	             5.45
	10/2021	PA04	1401130101	119659	LIJA AGUA 400	2040	               14	UN	          0.37	             5.15
	10/2021	PA04	1401130101	119660	LIJA 240 METAL 3M	2040	               43	UN	          0.50	            21.64
	10/2021	PA04	1401130101	119661	LIJA TRAPO 150	2040	                4	UN	          0.40	             1.59
	10/2021	PA04	1401130101	119670	CILINDRO OXIGENO	2040	               14	UN	         41.83	           585.62
	10/2021	PA04	1401130101	119671	CILINDRO ACETILENO 225 P3	2040	                7	UN	        207.42	         1,451.92
	10/2021	PA04	1401130101	119673	CILINDRO DE NITROGENO 200 P3	2040	                6	UN	         33.32	           199.92
	10/2021	PA04	1401130101	119674	CILINDRO C02 CARDOX	2040	                1	UN	         70.58	            70.58
	10/2021	PA04	1401130101	119675	CILINDRO DE HELIO	2040	                2	UN	        745.78	         1,491.56
	10/2021	PA04	1401130101	119677	TAPA DE CHORRO GRUESO	2040	                4	UN	         95.00	           380.00
	10/2021	PA04	1401130101	119693	PLACA WELLER PLUS 500 DS 1/2	2040	                2	UN	      2,518.45	         5,036.90
	10/2021	PA04	1401130101	119698	BARRA ACERO CORRUGADO 5/8 G60	2040	              840	TF	          0.40	           336.00
	10/2021	PA04	1401130101	119700	REVESTIMIENTO SEGMENTADO 300810	2040	                1	UN	      4,888.09	         4,888.09
	10/2021	PA04	1401130101	119701	ESCUADRA 525239D	2040	                2	UN	         23.60	            47.20
